,id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm,homeExpectedGoal,awayExpectedGoal,homeExpectedAssist,awayExpectedAssist,homeBallPosession,homeShotOnTarget,awayShotOnTarget,homeShotOffTarget,awayShotOffTarget,homeBlockedShot,awayBlockedShot,homeCorner,awayCorner,homeOffside,awayOffside,homeYellowCard,awayYellowCard,homeRedCard,awayRedCard,homeFreekick,awayFreekick,homeThrowIn,awayThrowIn,homeGoalkick,awayGoalkick,homeBigChance,awayBigChance,homeBigChanceMissed,awayBigChanceMissed,homeHitWoodwork,awayHitWoodwork,homeCounterAttack,awayCounterAttack,homeCounterAttackShot,awayCounterAttackShot,homeCounterAttackGoal,awayCounterAttackGoal,homeShotInsideBox,awayShotInsideBox,homeGoalSave,awayGoalSave,homePass,awayPass,homeAccuratePass,awayAccuratePass,homeLongPass,awayLongPass,homeAccurateLongPass,awayAccurateLongPass,homeCross,awayCross,homeAccurateCross,awayAccurateCross,homeDribble,awwayDribble,homeSuccessfulDribble,awaySuccessfulDribble,homePossesionLost,awayPossesionLost,homeDuelWon,awayDuelWon,homeAerialWon,awayAerialWon,homeTackle,awayTackle,homeInterception,awayInterception,homeClearance,awayClearance,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
485,10385739,10,7,3,1,1,0,6.96,4,4.0,2.0,6.92,14,1.0,0.5,0.06,0.41,0.0,0.0,51.0,1.0,2.0,0.0,7.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,5.0,8.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,1.0,271.0,267.0,243.0,232.0,30.0,32.0,17.0,17.0,11.0,9.0,1.0,3.0,6.0,9.0,1.0,5.0,60.0,50.0,13.0,25.0,2.0,3.0,5.0,10.0,3.0,2.0,9.0,8.0,33,3,0,1,0,0
501,10385520,7,9,4,1,1,1,6.71,15,1.0,0.5,6.85,9,3.0,1.5,0.73,0.44,0.0,0.0,56.0,3.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,8.0,6.0,13.0,11.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,1.0,2.0,253.0,198.0,212.0,159.0,26.0,37.0,16.0,20.0,6.0,6.0,2.0,1.0,13.0,3.0,7.0,1.0,72.0,65.0,30.0,29.0,6.0,4.0,9.0,18.0,0.0,5.0,7.0,6.0,7,40,1,3,1,1
517,10385519,1,11,2,0,2,1,6.76,13,3.0,1.5,7.05,3,6.0,3.0,0.0,0.92,0.0,0.0,27.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,8.0,11.0,6.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,154.0,401.0,113.0,363.0,21.0,23.0,7.0,13.0,0.0,14.0,0.0,3.0,5.0,12.0,2.0,7.0,58.0,65.0,18.0,30.0,4.0,10.0,8.0,6.0,4.0,1.0,11.0,0.0,60,42,0,0,2,3
533,10385539,5,9,3,1,2,0,6.87,13,2.0,1.0,6.9,4,4.0,2.0,1.4,0.38,0.0,0.0,45.0,5.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,4.0,16.0,17.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,3.0,166.0,208.0,127.0,163.0,21.0,38.0,9.0,16.0,10.0,4.0,4.0,1.0,2.0,5.0,2.0,2.0,70.0,71.0,17.0,24.0,6.0,10.0,8.0,8.0,5.0,2.0,6.0,4.0,43,50,2,3,1,2
549,10385543,5,10,5,1,1,0,6.8,7,4.0,2.0,7.02,8,4.0,2.0,1.34,0.47,0.0,0.0,41.0,5.0,1.0,3.0,3.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,6.0,8.0,9.0,11.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,1.0,3.0,173.0,252.0,123.0,196.0,21.0,35.0,5.0,19.0,6.0,7.0,2.0,1.0,11.0,13.0,6.0,5.0,68.0,86.0,31.0,32.0,5.0,12.0,15.0,7.0,9.0,9.0,9.0,3.0,34,38,2,3,0,0
630,10385537,5,4,2,0,0,2,6.75,18,0.0,0.0,6.81,10,3.0,1.5,0.34,0.36,0.0,0.0,47.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,5.0,2.0,11.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,217.0,244.0,175.0,191.0,35.0,32.0,13.0,10.0,8.0,9.0,1.0,1.0,13.0,7.0,5.0,4.0,73.0,77.0,19.0,27.0,4.0,7.0,5.0,14.0,6.0,2.0,10.0,9.0,48,14,0,1,0,1
646,10385738,10,5,5,4,2,2,6.7,14,1.0,0.5,6.7,17,1.0,0.5,0.25,0.06,0.0,0.0,70.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,13.0,7.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,341.0,145.0,291.0,94.0,34.0,33.0,20.0,14.0,11.0,5.0,1.0,1.0,10.0,11.0,7.0,6.0,80.0,81.0,37.0,33.0,9.0,11.0,13.0,11.0,4.0,3.0,5.0,10.0,31,45,0,1,0,2
662,10385538,3,6,6,0,2,5,6.65,19,0.0,0.0,6.98,9,4.0,2.0,0.18,1.08,0.0,0.0,47.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,12.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,237.0,269.0,192.0,211.0,32.0,39.0,16.0,12.0,8.0,7.0,2.0,3.0,2.0,3.0,1.0,2.0,71.0,72.0,19.0,21.0,10.0,7.0,3.0,8.0,9.0,4.0,5.0,9.0,37,30,0,0,1,2
743,10385532,3,14,3,1,12,1,7.22,8,4.0,2.0,7.24,5,6.0,3.0,1.63,0.83,0.0,0.0,32.0,5.0,5.0,2.0,2.0,1.0,2.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,8.0,3.0,9.0,2.0,2.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,6.0,4.0,2.0,139.0,320.0,96.0,276.0,31.0,26.0,14.0,12.0,10.0,6.0,5.0,1.0,9.0,10.0,7.0,5.0,60.0,63.0,23.0,21.0,6.0,5.0,7.0,3.0,4.0,2.0,5.0,8.0,39,17,2,3,1,3
759,10385531,5,8,7,1,3,0,6.62,19,0.0,0.0,6.83,15,2.0,1.0,0.97,0.56,0.0,0.0,30.0,2.0,0.0,1.0,4.0,3.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,8.0,13.0,7.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,152.0,348.0,105.0,291.0,30.0,24.0,10.0,14.0,3.0,8.0,1.0,2.0,8.0,3.0,3.0,2.0,67.0,80.0,20.0,20.0,4.0,8.0,9.0,6.0,7.0,2.0,12.0,3.0,35,44,1,2,0,1
775,10385567,2,9,9,0,1,0,6.78,11,4.0,1.3333333333333333,6.76,14,3.0,1.0,0.67,1.28,0.0,0.0,40.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,14.0,12.0,2.0,5.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,3.0,159.0,250.0,113.0,199.0,29.0,31.0,9.0,9.0,11.0,9.0,2.0,2.0,5.0,9.0,3.0,5.0,71.0,74.0,23.0,27.0,10.0,15.0,6.0,4.0,6.0,5.0,8.0,16.0,45,35,0,0,0,1
791,10385563,5,9,6,0,2,0,6.84,15,3.0,1.0,6.63,20,0.0,0.0,0.25,0.01,0.0,0.0,60.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,15.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,314.0,211.0,272.0,171.0,31.0,23.0,16.0,10.0,10.0,5.0,1.0,2.0,3.0,6.0,2.0,3.0,64.0,61.0,23.0,18.0,4.0,4.0,9.0,7.0,6.0,11.0,3.0,13.0,40,37,0,0,0,1
