id,homeAvgRating,homePosition,homePoint,homeForm,awayAvgRating,awayPosition,awayPoint,awayForm
10385378,6.81,8,18,1.4,6.88,13,13,1.2
10385380,6.81,17,11,2.0,7.16,2,26,2.4
10385373,6.93,9,16,1.4,6.74,19,9,0.2
10385377,6.79,13,13,1.4,6.79,16,12,1.0
10385364,6.98,2,28,2.6,6.72,20,9,1.0
10385362,6.99,4,21,2.6,6.83,15,12,1.0
10385366,6.71,14,13,1.0,6.95,3,23,1.2
10385367,6.81,11,14,1.0,6.78,19,9,0.6
10385363,6.90,9,15,0.4,6.93,5,21,2.2
10385378,6.81,8,18,1.4,6.88,13,13,1.2
10385373,6.93,9,16,1.4,6.74,19,9,0.2
10385377,6.79,13,13,1.4,6.79,16,12,1.0
10385360,6.87,6,20,1.6,6.88,12,14,2.0
10385364,6.98,2,28,2.6,6.72,20,9,1.0
10385360,6.87,6,20,1.6,6.88,12,14,2.0
10385376,6.91,7,21,1.6,7.00,2,31,2.6
10385384,6.77,15,12,0.6,6.71,14,13,0.8
10385388,6.70,20,9,1.0,6.81,11,15,1.0
10385374,6.77,19,10,0.8,6.92,8,18,0.8
10385390,6.89,13,14,0.8,6.81,18,11,1.4
10385385,7.16,2,29,2.4,6.84,7,19,1.6
10385376,6.91,7,21,1.6,7.00,2,31,2.6
10385379,6.79,17,12,0.8,6.90,5,23,2.2
10385384,6.77,15,12,0.6,6.71,14,13,0.8
10385388,6.70,20,9,1.0,6.81,11,15,1.0
10385374,6.77,19,10,0.8,6.92,8,18,0.8
10385390,6.89,13,14,0.8,6.81,18,11,1.4
10385385,7.16,2,29,2.4,6.84,7,19,1.6
10385375,6.96,4,26,1.8,6.94,10,16,1.2
10385371,6.78,18,12,1.0,6.99,4,24,2.6
10385372,6.87,14,14,1.4,6.82,11,16,2.0
10385376,6.91,7,21,1.6,7.00,2,31,2.6
10385379,6.79,17,12,0.8,6.90,5,23,2.2
10385375,6.96,4,26,1.8,6.94,10,16,1.2
10385371,6.78,18,12,1.0,6.99,4,24,2.6
10385372,6.87,14,14,1.4,6.82,11,16,2.0
10385383,7.15,2,32,2.4,6.80,11,16,1.2
10385393,6.76,20,10,0.8,7.00,1,34,2.6
10385386,6.69,17,13,0.2,6.88,16,14,0.8
10385383,7.15,2,32,2.4,6.80,11,16,1.2
10385387,6.95,4,26,1.2,6.78,12,15,1.2
10385381,6.97,4,27,2.6,6.88,8,21,1.0
10385382,6.70,20,10,1.0,6.83,11,19,2.0
10385400,6.94,8,19,1.8,6.77,18,12,1.0
10385395,6.85,15,14,0.8,6.84,14,14,2.0
10385393,6.76,20,10,0.8,7.00,1,34,2.6
10385389,6.93,7,21,1.4,6.79,15,15,1.2
10385386,6.69,17,13,0.2,6.88,16,14,0.8
10385383,7.15,2,32,2.4,6.80,11,16,1.2
10385399,6.81,9,19,1.6,6.87,5,23,1.6
10385387,6.95,4,26,1.2,6.78,12,15,1.2
10385381,6.97,4,27,2.6,6.88,8,21,1.0
10385382,6.70,20,10,1.0,6.83,11,19,2.0
10385400,6.94,8,19,1.8,6.77,18,12,1.0
10385395,6.85,15,14,0.8,6.84,14,14,2.0
10385389,6.93,7,21,1.4,6.79,15,15,1.2
10385399,6.81,9,19,1.6,6.87,5,23,1.6
10385397,6.81,10,19,1.2,6.94,4,29,1.2
10385396,7.01,1,37,2.6,6.85,16,14,0.6
10385397,6.81,10,19,1.2,6.94,4,29,1.2
10385391,6.87,17,14,0.8,6.75,20,10,0.2
10385394,6.81,11,19,1.8,6.82,10,19,1.4
10385398,6.79,12,18,1.8,6.94,7,22,1.8
10385406,6.86,13,17,2.4,6.97,3,30,3.0
10385404,6.76,19,12,0.8,6.90,7,21,1.4
10385396,7.01,1,37,2.6,6.85,16,14,0.6
10385392,6.88,9,21,0.4,6.72,14,16,0.6
10385397,6.81,10,19,1.2,6.94,4,29,1.2
10385391,6.87,17,14,0.8,6.75,20,10,0.2
10385394,6.81,11,19,1.8,6.82,10,19,1.4
10385398,6.79,12,18,1.8,6.94,7,22,1.8
10385401,6.88,5,26,2.0,6.71,19,13,1.6
10385406,6.86,13,17,2.4,6.97,3,30,3.0
10385404,6.76,19,12,0.8,6.90,7,21,1.4
10385392,6.88,9,21,0.4,6.72,14,16,0.6
10385403,6.77,15,15,1.2,7.14,3,32,1.8
10385401,6.88,5,26,2.0,6.71,19,13,1.6
10385403,6.77,15,15,1.2,7.14,3,32,1.8
10385402,6.83,16,14,0.6,6.81,10,20,1.2
10385405,6.95,6,25,1.8,6.84,13,17,1.8
10385408,6.75,18,13,0.8,6.90,5,29,2.0
10385409,6.91,8,24,1.8,7.02,1,40,2.6
10385410,6.72,14,16,0.6,6.79,11,19,1.2
10385402,6.83,16,14,0.6,6.81,10,20,1.2
