id,previousHomeWin,previousAwayWin,previousDraw,previousManagerHomeWin,previousManagerAwayWin,previousManagerDraw
10385416,16,3,1,3,2,2
10385415,9,2,1,3,0,0
10385428,1,3,1,1,3,1
10385421,6,4,3,0,2,0
10385419,3,6,3,1,1,0
10385416,16,3,1,3,2,2
10385420,5,8,7,1,3,3
10385415,9,2,1,3,0,0
10385421,6,4,3,0,2,0
10385419,3,6,3,1,1,0
10385411,3,8,3,3,3,1
10385424,4,14,2,0,2,0
10385417,8,7,5,0,0,1
10385420,5,8,7,1,3,3
10385429,6,13,1,1,9,0
10385411,3,8,3,3,3,1
10385424,4,14,2,0,2,0
10385417,8,7,5,0,0,1
10385429,6,13,1,1,9,0
10913240,1,13,6,2,1,1
10385423,6,6,8,3,0,0
10913240,1,13,6,2,1,1
10385426,8,10,2,1,3,0
10385423,6,6,8,3,0,0
10385439,8,5,6,1,0,1
10385422,8,9,3,1,1,1
10385425,7,6,7,2,1,0
10385436,3,9,4,2,0,2
10385426,8,10,2,1,3,0
10385438,7,7,1,2,1,0
10385433,7,7,6,1,2,0
10385439,8,5,6,1,0,1
10385435,16,4,0,2,0,2
10385422,8,9,3,1,1,1
10385427,9,8,3,3,3,1
10385425,7,6,7,2,1,0
10385436,3,9,4,2,0,2
10385426,8,10,2,1,3,0
10385438,7,7,1,2,1,0
10385433,7,7,6,1,2,0
10385435,16,4,0,2,0,2
10385427,9,8,3,3,3,1
10979293,4,12,4,0,1,1
10979293,4,12,4,0,1,1
10913242,9,8,3,3,4,0
10385443,8,4,8,3,1,3
10913242,9,8,3,3,4,0
10385431,5,3,3,1,0,1
10385444,8,9,3,3,2,0
10385434,10,5,5,0,0,1
10385443,8,4,8,3,1,3
10385430,4,9,7,0,2,2
10385449,9,7,4,0,1,0
10652685,8,7,5,2,1,0
10385431,5,3,3,1,0,1
10385432,4,6,8,1,1,1
10385444,8,9,3,3,2,0
10385434,10,5,5,0,0,1
10385443,8,4,8,3,1,3
10385445,14,5,1,3,1,0
10385430,4,9,7,0,2,2
10385449,9,7,4,0,1,0
10652685,8,7,5,2,1,0
10385432,4,6,8,1,1,1
10385437,3,15,2,0,4,0
10385445,14,5,1,3,1,0
10385437,3,15,2,0,4,0
10385450,6,13,1,2,3,3
10385441,13,1,6,1,2,1
10385448,9,7,4,2,3,0
10385440,5,8,4,3,0,0
10385446,5,2,3,4,0,1
10385450,6,13,1,2,3,3
10385441,13,1,6,1,2,1
10385454,4,14,2,1,2,1
10688772,12,4,4,1,0,1
10385458,10,5,5,2,2,5
10385448,9,7,4,2,3,0
10385440,5,8,4,3,0,0
10385446,5,2,3,4,0,1
10385450,6,13,1,2,3,3
10385459,8,6,6,1,0,0
10385454,4,14,2,1,2,1
10688772,12,4,4,1,0,1
10385458,10,5,5,2,2,5
10385442,8,9,3,0,0,0
10385459,8,6,6,1,0,0
10385442,8,9,3,0,0,0
11007089,13,2,5,1,0,1
11007089,13,2,5,1,0,1
10385467,7,9,4,0,2,5
10385460,3,5,4,0,1,3
10385451,5,1,1,4,1,1
10385468,6,5,8,0,1,1
10385467,7,9,4,0,2,5
10385461,9,5,1,4,1,0
10385457,4,10,2,0,1,0
10385466,6,11,3,1,3,0
10385452,15,2,3,9,1,4
10385460,3,5,4,0,1,3
10385451,5,1,1,4,1,1
10385468,6,5,8,0,1,1
10385467,7,9,4,0,2,5
10385461,9,5,1,4,1,0
10385464,2,13,5,0,1,1
10385457,4,10,2,0,1,0
10385466,6,11,3,1,3,0
10385452,15,2,3,9,1,4
10385456,11,1,8,10,2,2
10385464,2,13,5,0,1,1
10385456,11,1,8,10,2,2
10913239,4,15,1,3,8,0
10913239,4,15,1,3,8,0
10385462,4,15,1,1,1,1
10385462,4,15,1,1,1,1
10385479,4,3,2,0,1,0
10385474,1,0,5,0,0,4
10385463,6,6,8,1,0,0
10385475,5,6,4,0,1,1
10385470,2,13,5,1,13,1
10385465,3,2,3,0,3,1
10385472,11,4,5,0,1,0
10385462,4,15,1,1,1,1
10385479,4,3,2,0,1,0
10385474,1,0,5,0,0,4
10385463,6,6,8,1,0,0
10385475,5,6,4,0,1,1
10385470,2,13,5,1,13,1
10385465,3,2,3,0,3,1
10652688,11,4,5,2,0,0
10385472,11,4,5,0,1,0
10385477,9,8,3,0,0,0
10652688,11,4,5,2,0,0
10385477,9,8,3,0,0,0
10385473,4,10,6,1,1,2
10385489,5,7,6,1,1,0
10385480,4,13,3,1,6,1
10385476,0,14,0,1,1,0
10652689,4,1,1,2,1,0
10385488,5,12,3,3,1,0
10385471,7,8,5,1,5,0
10385473,4,10,6,1,1,2
10385486,3,15,2,0,2,2
10385489,5,7,6,1,1,0
10385478,8,8,4,1,0,0
10385482,10,3,4,2,1,0
10385480,4,13,3,1,6,1
10385476,0,14,0,1,1,0
10652689,4,1,1,2,1,0
10385488,5,12,3,3,1,0
10385471,7,8,5,1,5,0
10385486,3,15,2,0,2,2
10385489,5,7,6,1,1,0
10385478,8,8,4,1,0,0
10385482,10,3,4,2,1,0
10652689,4,1,1,2,1,0
10385488,5,12,3,3,1,0
11047751,13,6,1,3,2,3
11047752,14,4,2,2,1,1
11047751,13,6,1,3,2,3
11047752,14,4,2,2,1,1
10517280,14,3,3,12,1,1
10385485,9,7,4,1,0,0
10385490,11,1,2,2,0,0
10385481,9,5,3,2,1,0
10385495,10,5,5,2,0,0
10517280,14,3,3,12,1,1
10385496,5,10,5,1,0,0
10385492,7,10,3,0,0,0
10385487,6,3,6,0,0,0
