id,homeExpectedGoal,awayExpectedGoal,homeExpectedAssist,awayExpectedAssist,homeBallPosession,homeShotOnTarget,awayShotOnTarget,homeShotOffTarget,awayShotOffTarget,homeBlockedShot,awayBlockedShot,homeCorner,awayCorner,homeOffside,awayOffside,homeFoul,awayFoul,homeYellowCard,awayYellowCard,homeRedCard,awayRedCard,homeFreekick,awayFreekick,homeThrowIn,awayThrowIn,homeGoalkick,awayGoalkick,homeBigChance,awayBigChance,homeBigChanceMissed,awayBigChanceMissed,homeShotInsideBox,awayShotInsideBox,homeGoalSave,awayGoalSave,homeGoalPrevented,awayGoalPrevented,homePass,awayPass,homeAccuratePass,awayAccuratePass,homeLongPass,awayLongPass,homeAccurateLongPass,awayAccurateLongPass,homeCross,awayCross,homeAccurateCross,awayAccurateCross,homeDribble,awwayDribble,homeSuccessfulDribble,awaySuccessfulDribble,homePossesionLost,awayPossesionLost,homeDuelWon,awayDuelWon,homeAerialWon,awayAerialWon,homeTackle,awayTackle,homeInterception,awayInterception,homeClearance,awayClearance
11352600,0.32,0.56,0.5,0.66,33.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,8.0,8.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,161.0,346.0,124.0,311.0,23.0,18.0,6.0,14.0,5.0,3.0,3.0,0.0,11.0,12.0,8.0,8.0,56.0,61.0,33.0,26.0,3.0,4.0,10.0,6.0,8.0,3.0,10.0,4.0
11352615,0.6,0.18,0.41,0.36,63.0,1.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,3.0,16.0,10.0,4.0,4.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,271.0,160.0,227.0,117.0,22.0,29.0,9.0,14.0,12.0,7.0,4.0,2.0,16.0,7.0,10.0,5.0,78.0,68.0,31.0,36.0,7.0,13.0,7.0,15.0,4.0,3.0,7.0,15.0
11352626,0.4,0.6,1.0,0.16,36.0,2.0,2.0,5.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,10.0,11.0,3.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,176.0,330.0,147.0,299.0,20.0,15.0,9.0,12.0,11.0,8.0,6.0,3.0,19.0,10.0,11.0,4.0,54.0,52.0,27.0,21.0,4.0,2.0,11.0,11.0,6.0,4.0,8.0,12.0
11352608,0.38,0.5,0.55,0.18,76.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,8.0,3.0,11.0,7.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,395.0,122.0,359.0,84.0,26.0,18.0,17.0,4.0,10.0,5.0,4.0,2.0,7.0,5.0,3.0,1.0,60.0,60.0,23.0,22.0,6.0,11.0,6.0,8.0,6.0,4.0,4.0,7.0
11352611,0.64,0.56,0.21,0.16,42.0,1.0,1.0,2.0,2.0,5.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,3.0,6.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,245.0,339.0,212.0,312.0,27.0,28.0,13.0,21.0,7.0,3.0,0.0,2.0,16.0,9.0,9.0,2.0,60.0,49.0,22.0,23.0,0.0,4.0,8.0,14.0,2.0,5.0,1.0,7.0
11352621,1.09,0.4,0.68,0.13,68.0,7.0,2.0,3.0,0.0,2.0,1.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,8.0,5.0,0.0,5.0,2.0,0.0,2.0,0.0,7.0,3.0,2.0,7.0,0.0,0.0,337.0,160.0,308.0,120.0,16.0,26.0,8.0,14.0,15.0,3.0,3.0,1.0,15.0,2.0,9.0,2.0,61.0,57.0,24.0,24.0,5.0,10.0,5.0,9.0,2.0,4.0,3.0,13.0
11352625,0.8,1.97,0.52,2.14,37.0,2.0,7.0,1.0,2.0,0.0,8.0,2.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,3.0,6.0,5.0,5.0,1.0,2.0,4.0,1.0,4.0,2.0,10.0,5.0,1.0,0.0,0.0,174.0,306.0,153.0,283.0,13.0,16.0,10.0,11.0,7.0,17.0,2.0,2.0,5.0,8.0,2.0,4.0,41.0,52.0,24.0,18.0,8.0,4.0,8.0,7.0,2.0,3.0,19.0,2.0
11352600,0.32,0.56,0.5,0.66,33.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,8.0,8.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,161.0,346.0,124.0,311.0,23.0,18.0,6.0,14.0,5.0,3.0,3.0,0.0,11.0,12.0,8.0,8.0,56.0,61.0,33.0,26.0,3.0,4.0,10.0,6.0,8.0,3.0,10.0,4.0
11352605,0.15,0.2,0.03,0.36,23.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,6.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,110.0,380.0,74.0,342.0,23.0,24.0,6.0,13.0,2.0,7.0,1.0,4.0,3.0,10.0,2.0,6.0,48.0,59.0,16.0,18.0,2.0,3.0,8.0,3.0,5.0,1.0,8.0,2.0
11352618,0.27,0.11,0.28,0.07,46.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,9.0,9.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,213.0,257.0,172.0,222.0,27.0,30.0,11.0,16.0,7.0,6.0,0.0,1.0,9.0,10.0,4.0,6.0,62.0,57.0,25.0,24.0,9.0,4.0,9.0,5.0,5.0,3.0,2.0,12.0
