id,homeTeamId,awayTeamId,homeScorePeriod1,homeScoreCurrent,awayScorePeriod1,awayScoreCurrent
10385554,17,7,0,4,2,2
10385742,42,43,0,2,0,1
10385563,40,37,0,0,0,1
10385568,3,39,1,1,0,1
10385551,14,33,0,0,1,2
10385563,40,37,0,0,0,1
10385568,3,39,1,1,0,1
10385551,14,33,0,0,1,2
10385588,7,50,0,1,0,1
10385559,43,30,0,2,0,1
10385585,45,38,2,2,1,1
10385758,34,48,0,1,1,1
10385588,7,50,0,1,0,1
10385559,43,30,0,2,0,1
10385585,45,38,2,2,1,1
10385758,34,48,0,1,1,1
10385574,42,40,1,2,0,1
10385759,60,3,0,0,0,0
10385590,17,14,3,6,0,0
10385564,37,33,0,1,1,1
10385582,44,39,0,2,1,1
10385574,42,40,1,2,0,1
10385759,60,3,0,0,0,0
10385590,17,14,3,6,0,0
10385564,37,33,0,1,1,1
10385582,44,39,0,2,1,1
10385573,31,35,0,0,1,1
10385573,31,35,0,0,1,1
10385599,48,44,0,0,0,0
10385599,48,44,0,0,0,0
10385577,50,34,2,5,1,2
10385757,38,37,0,2,0,1
10385608,39,7,0,0,0,0
10385600,14,60,2,2,0,3
10385744,33,43,1,2,0,1
10385595,3,45,1,1,0,0
10385569,40,17,0,1,0,1
10385576,30,31,2,5,2,2
10385577,50,34,2,5,1,2
10385757,38,37,0,2,0,1
10385608,39,7,0,0,0,0
10385600,14,60,2,2,0,3
10385744,33,43,1,2,0,1
10385595,3,45,1,1,0,0
10385569,40,17,0,1,0,1
10385576,30,31,2,5,2,2
10385750,35,42,1,3,0,1
10385576,30,31,2,5,2,2
10385750,35,42,1,3,0,1
10385745,40,45,1,1,0,0
10385627,14,43,1,2,0,3
10385639,3,17,0,0,2,3
10385745,40,45,1,1,0,0
10385627,14,43,1,2,0,3
10385639,3,17,0,0,2,3
10385624,39,60,0,1,0,1
10385641,33,31,2,6,2,2
10385635,50,42,0,0,2,3
10385623,48,37,0,1,0,0
10385624,39,60,0,1,0,1
10385641,33,31,2,6,2,2
10385635,50,42,0,0,2,3
10385623,48,37,0,1,0,0
10385623,48,37,0,1,0,0
10385648,42,33,1,3,1,1
10385648,42,33,1,3,1,1
10385748,60,50,0,0,0,0
10385629,7,38,1,1,1,2
10385749,43,39,0,1,3,4
10385659,44,30,1,3,2,3
10385657,45,48,0,1,0,2
10385661,37,3,1,2,0,0
10385656,17,35,4,6,0,3
10385748,60,50,0,0,0,0
10385629,7,38,1,1,1,2
10385749,43,39,0,1,3,4
10385659,44,30,1,3,2,3
10385657,45,48,0,1,0,2
10385661,37,3,1,2,0,0
10385656,17,35,4,6,0,3
10385642,34,40,0,0,0,0
10385656,17,35,4,6,0,3
10385642,34,40,0,0,0,0
10385631,31,14,3,4,0,0
10385631,31,14,3,4,0,0
10385649,60,31,0,2,1,1
10385760,38,3,1,3,0,0
10385695,17,45,2,4,0,0
10385689,39,50,2,5,0,1
10385653,30,33,0,0,1,1
10385686,7,34,1,2,1,1
10385687,37,43,1,3,1,1
10385649,60,31,0,2,1,1
10385760,38,3,1,3,0,0
10385695,17,45,2,4,0,0
10385689,39,50,2,5,0,1
10385653,30,33,0,0,1,1
10385686,7,34,1,2,1,1
10385687,37,43,1,3,1,1
10385644,42,44,2,3,1,2
10385762,48,35,1,1,2,2
10385686,7,34,1,2,1,1
10385687,37,43,1,3,1,1
10385644,42,44,2,3,1,2
10385762,48,35,1,1,2,2
10385761,14,40,1,1,1,1
10385761,14,40,1,1,1,1
10385682,50,30,1,2,0,0
10385704,31,7,0,0,0,0
10385682,50,30,1,2,0,0
10385704,31,7,0,0,0,0
10385696,43,60,1,2,2,2
10385705,3,14,0,1,0,0
10385753,33,48,0,2,0,0
10385680,40,38,0,0,1,2
10385700,34,42,0,0,1,1
10385693,35,39,0,0,0,0
10385692,45,37,1,1,0,1
10385696,43,60,1,2,2,2
10385705,3,14,0,1,0,0
10385753,33,48,0,2,0,0
10385680,40,38,0,0,1,2
10385700,34,42,0,0,1,1
10385693,35,39,0,0,0,0
10385692,45,37,1,1,0,1
10385752,44,17,0,1,0,0
10385680,40,38,0,0,1,2
10385700,34,42,0,0,1,1
10385693,35,39,0,0,0,0
10385692,45,37,1,1,0,1
10385752,44,17,0,1,0,0
10385713,30,14,0,0,0,0
10385707,7,3,0,2,1,1
10385713,30,14,0,0,0,0
10385707,7,3,0,2,1,1
10385755,60,45,0,0,1,1
10385718,50,38,0,0,0,0
10385729,44,37,1,1,0,0
10385715,39,48,1,1,0,0
10385725,35,33,0,2,0,0
10385755,60,45,0,0,1,1
10385718,50,38,0,0,0,0
10385729,44,37,1,1,0,0
10385715,39,48,1,1,0,0
10385725,35,33,0,2,0,0
10385708,43,40,1,3,0,0
10385706,31,34,2,2,0,0
10385708,43,40,1,3,0,0
10385706,31,34,2,2,0,0
10385728,14,44,0,1,0,0
10385728,14,44,0,1,0,0
10385721,48,7,1,3,0,0
10385730,17,30,2,3,0,1
10385751,38,35,0,1,0,1
10385732,40,50,3,4,0,0
10385754,34,43,1,2,1,3
10385368,45,42,0,1,1,1
10385361,3,31,0,0,2,4
10385721,48,7,1,3,0,0
10385730,17,30,2,3,0,1
10385751,38,35,0,1,0,1
10385732,40,50,3,4,0,0
10385754,34,43,1,2,1,3
10385368,45,42,0,1,1,1
10385361,3,31,0,0,2,4
10385365,33,39,0,1,2,2
10385732,40,50,3,4,0,0
10385754,34,43,1,2,1,3
10385368,45,42,0,1,1,1
10385361,3,31,0,0,2,4
10385365,33,39,0,1,2,2
10385359,37,60,1,2,0,0
10385359,37,60,1,2,0,0
10385380,31,17,0,0,0,1
10385380,31,17,0,0,0,1
10385366,60,33,1,2,0,3
10385367,50,3,0,1,0,1
10385363,30,38,3,4,0,1
10385377,7,45,1,1,0,0
10385362,39,40,1,4,0,0
10385378,43,48,0,0,0,0
10385373,44,34,1,1,1,2
10385366,60,33,1,2,0,3
10385367,50,3,0,1,0,1
10385363,30,38,3,4,0,1
10385377,7,45,1,1,0,0
10385362,39,40,1,4,0,0
10385378,43,48,0,0,0,0
10385373,44,34,1,1,1,2
10385364,42,14,1,5,0,0
10385360,35,37,1,1,0,0
10385364,42,14,1,5,0,0
10385360,35,37,1,1,0,0
10385384,34,60,1,4,2,3
10385385,17,43,1,2,1,1
10385388,14,50,1,2,1,2
10385374,3,30,2,2,2,3
10385390,48,31,0,0,1,2
10385376,38,42,0,0,0,1
10385384,34,60,1,4,2,3
10385385,17,43,1,2,1,1
10385388,14,50,1,2,1,2
10385374,3,30,2,2,2,3
10385390,48,31,0,0,1,2
10385376,38,42,0,0,0,1
10385379,40,35,2,3,1,1
10385371,45,39,0,1,1,4
10385372,37,7,1,1,1,2
10385375,33,44,0,1,2,2
10385376,38,42,0,0,0,1
10385379,40,35,2,3,1,1
10385371,45,39,0,1,1,4
10385372,37,7,1,1,1,2
10385375,33,44,0,1,2,2
10385383,17,50,1,1,1,2
10385383,17,50,1,1,1,2
10385386,60,48,2,3,0,0
10385400,44,45,3,3,1,1
10385382,14,7,0,1,0,0
10385387,33,34,1,4,2,3
10385395,37,31,0,0,1,2
10385381,39,38,0,1,0,0
10385393,3,42,0,0,0,2
10385383,17,50,1,1,1,2
10385386,60,48,2,3,0,0
